Date,Price
2026-07-05,0.5144
2026-07-04,0.5161
2026-07-03,0.5131
2026-07-02,0.5093
2026-07-01,0.5089
2026-06-30,0.4998
2026-06-29,0.5014
2026-06-28,0.497
2026-06-27,0.4976
2026-06-26,0.491
2026-06-25,0.5072
2026-06-24,0.5103
2026-06-23,0.5096
2026-06-22,0.534
2026-06-21,0.5295
2026-06-20,0.528
2026-06-19,0.5239
2026-06-18,0.5304
2026-06-17,0.5337
2026-06-16,0.5335
2026-06-15,0.5334
2026-06-14,0.5264
2026-06-13,0.5349
2026-06-12,0.5307
2026-06-11,0.5207
2026-06-10,0.5136
2026-06-09,0.5168
2026-06-08,0.5238
2026-06-07,0.5196
2026-06-06,0.5167
2026-06-05,0.5217
2026-06-04,0.5225
2026-06-03,0.546
2026-06-02,0.5521
2026-06-01,0.5583
2026-05-31,0.5658
2026-05-30,0.5691
2026-05-29,0.5592
2026-05-28,0.555
2026-05-27,0.5681
2026-05-26,0.5727
2026-05-25,0.5658
2026-05-24,0.5632
2026-05-23,0.5656
2026-05-22,0.5813
2026-05-21,0.5812
2026-05-20,0.5843
2026-05-19,0.591
2026-05-18,0.5878
2026-05-17,0.6062
2026-05-16,0.5996
2026-05-15,0.626
2026-05-14,0.6278
2026-05-13,0.6535
2026-05-12,0.6486
2026-05-11,0.6586
2026-05-10,0.6576
2026-05-09,0.6556
2026-05-08,0.6344
2026-05-07,0.6159
2026-05-06,0.607
2026-05-05,0.5904
2026-05-04,0.5931
2026-05-03,0.5992
2026-05-02,0.605
2026-05-01,0.6101
2026-04-30,0.6117
2026-04-29,0.6187
2026-04-28,0.6112
2026-04-27,0.6146
2026-04-26,0.6304
2026-04-25,0.6277
2026-04-24,0.6227
2026-04-23,0.6165
2026-04-22,0.6194
2026-04-21,0.6073
2026-04-20,0.6086
2026-04-19,0.6058
2026-04-18,0.6161
2026-04-17,0.619
2026-04-16,0.5899
2026-04-15,0.5551
2026-04-14,0.5558
2026-04-13,0.5499
2026-04-12,0.5474
2026-04-11,0.557
2026-04-10,0.5455
2026-04-09,0.5219
2026-04-08,0.5273
2026-04-07,0.5044
2026-04-06,0.5079
2026-04-05,0.4928
2026-04-04,0.495
2026-04-03,0.5018
2026-04-02,0.4947
2026-04-01,0.5053
2026-03-31,0.4969
2026-03-30,0.4979
2026-03-29,0.49
2026-03-28,0.4907
2026-03-27,0.5021
2026-03-26,0.5035
2025-03-15,0.8433
2025-03-14,0.8259
2025-03-13,0.8296
2025-03-12,0.821
2025-03-11,0.7984
2025-03-10,0.8254
2025-03-09,0.8735
2025-03-08,0.8678
2025-03-07,0.8792
2025-03-06,0.8887
2025-03-05,0.8549
2025-03-04,0.8671
2025-03-03,0.9441
2025-03-02,0.8919
2025-03-01,0.8973
2025-02-28,0.9013
2025-02-27,0.9016
2025-02-26,0.9007
2025-02-25,0.8864
2025-02-24,0.9425
2025-02-23,0.9421
2025-02-22,0.9291
2025-02-21,0.9538
2025-02-20,0.9384
2025-02-19,0.9243
2025-02-18,0.9589
2025-02-17,0.9394
2025-02-16,0.9417
2025-02-15,0.9576
2025-02-14,0.9491
2025-02-13,0.9593
2025-02-12,0.9257
2025-02-11,0.9348
2025-02-10,0.9098
2025-02-09,0.9128
2025-02-08,0.8907
2025-02-07,0.9115
2025-02-06,0.9302
2025-02-05,0.9352
2025-02-04,0.9698
2025-02-03,0.9439
2025-02-02,1.027
2025-02-01,1.0679
2025-01-31,1.0615
2025-01-30,1.0428
2025-01-29,1.0259
2025-01-28,1.0634
2025-01-27,1.1042
2025-01-26,1.1132
2025-01-25,1.1058
2025-01-24,1.1181
2025-01-23,1.1087
2025-01-22,1.1201
2025-01-21,1.11
2025-01-20,1.1081
2025-01-19,1.142
2025-01-18,1.182
2025-01-17,1.1385
2025-01-16,1.1583
2025-01-15,1.125
2025-01-14,1.0977
2025-01-13,1.1096
2025-01-12,1.1241
2025-01-11,1.1249
2025-01-10,1.1214
2025-01-09,1.1458
2025-01-08,1.1641
2025-01-07,1.2213
2025-01-06,1.2202
2025-01-05,1.2061
2025-01-04,1.1639
2025-01-03,1.1235
2025-01-02,1.1052
2025-01-01,1.0858
2024-12-31,1.0922
2024-12-30,1.0966
2024-12-29,1.1218
2024-12-28,1.1074
2024-12-27,1.1028
2024-12-26,1.1354
2024-12-25,1.1454
2024-12-24,1.1374
2024-12-23,1.101
2024-12-22,1.0935
2024-12-21,1.1323
2024-12-20,1.118
2024-12-19,1.1584
2024-12-18,1.1986
2024-12-17,1.2378
2024-12-16,1.2208
2024-12-15,1.2125
2024-12-14,1.2327
2024-12-13,1.2321
2024-12-12,1.2249
2024-12-11,1.1882
2024-12-10,1.1863
2024-12-09,1.268
2024-12-08,1.2713
2024-12-07,1.2782
2024-12-06,1.2498
2024-12-05,1.279
2024-12-04,1.2271
2024-12-03,1.2106
2024-12-02,1.1824
2024-12-01,1.1911
2024-11-30,1.1547
2024-11-29,1.146
2024-11-28,1.1782
2024-11-27,1.1126
2024-11-26,1.1457
2024-11-25,1.104
2024-11-24,1.1032
