Date,Price
2026-02-14,2062733976772.442
2026-02-13,2062733976772.442
2026-02-12,2062733976772.442
2026-02-11,2062733976772.442
2026-02-10,2062733976772.442
2026-02-09,2062733976772.442
2026-02-08,2062733976772.442
2026-02-07,2062733976772.442
2026-02-06,2062733976772.442
2026-02-05,2062733976772.442
2026-02-04,2062733976772.442
2026-02-03,2062733976772.442
2026-02-02,2062733976772.442
2026-02-01,2062733976772.442
2026-01-31,2062733976772.442
2026-01-30,2062733976772.442
2026-01-29,2062733976772.442
2026-01-28,2062733976772.442
2026-01-27,2062733976772.442
2026-01-26,2062733976772.442
2026-01-25,2062733976772.442
2026-01-24,2062733976772.442
2026-01-23,2062733976772.442
2026-01-22,2062733976772.442
2026-01-21,2062733976772.442
2026-01-20,2062733976772.442
2026-01-19,2062733976772.442
2026-01-18,2062733976772.442
2026-01-17,2062733976772.442
2026-01-16,2062733976772.442
2026-01-15,2062733976772.442
2026-01-14,2062733976772.442
2026-01-13,2062733976772.442
2026-01-12,2062733976772.442
2026-01-11,2062733976772.442
2026-01-10,2062733976772.442
2026-01-09,2062733976772.442
2026-01-08,2062733976772.442
2026-01-07,2062733976772.442
2026-01-06,2062733976772.442
2026-01-05,2062733976772.442
2026-01-04,2062733976772.442
2026-01-03,2062733976772.442
2026-01-02,2062733976772.442
2026-01-01,2062733976772.442
2025-12-31,2062733976772.442
2025-12-30,2062733976772.442
2025-12-29,2062733976772.442
2025-12-28,2062733976772.442
2025-12-27,2062733976772.442
2025-12-26,2062733976772.442
2025-12-25,2062733976772.442
2025-12-24,2062733976772.442
2025-12-23,2062733976772.442
2025-12-22,2062733976772.442
2025-12-21,2062733976772.442
2025-12-20,2062733976772.442
2025-12-19,2062733976772.442
2025-12-18,2062733976772.442
2025-12-17,2062733976772.442
2025-12-16,2062733976772.442
2025-12-15,2062733976772.442
2025-12-14,2062733976772.442
2025-12-13,2062733976772.442
2025-12-12,2062733976772.442
2025-12-11,2062733976772.442
2025-12-10,2062733976772.442
2025-12-09,2062733976772.442
2025-12-08,2062733976772.442
